Geographic;City;percent_completed_hs
PA;Aaronsburg CDP (Centre County);92.2
PA;Aaronsburg CDP (Washington County);83.1
AL;Abanda CDP;21.2
AL;Abbeville city;69.1
GA;Abbeville city;69.4
LA;Abbeville city;70
SC;Abbeville city;79.5
MS;Abbeville town;80
WI;Abbotsford city;77.8
TX;Abbott city;92.4
PA;Abbottstown borough;80.7
KS;Abbyville city;95.5
ND;Abercrombie city;95.2
IN;Aberdeen CDP;99.3
ID;Aberdeen city;57.6
MD;Aberdeen city;86.7
MS;Aberdeen city;74.4
SD;Aberdeen city;91.7
WA;Aberdeen city;85
WA;Aberdeen Gardens CDP;91.1
MD;Aberdeen Proving Ground CDP;100
NC;Aberdeen town;85.8
OH;Aberdeen village;76.8
TX;Abernathy city;74.3
NM;Abeytas CDP;100
NE;Abie village;96.1
KS;Abilene city;85.2
TX;Abilene city;83.5
IL;Abingdon city;86.5
VA;Abingdon town;85
MA;Abington CDP;96.3
NM;Abiquiu CDP;100
LA;Abita Springs town;92.5
TX;Abram CDP;35
WI;Abrams CDP;91.2
MT;Absarokee CDP;94
NJ;Absecon city;87.5
FL;Acacia Villas CDP;81.7
CA;Acalanes Ridge CDP;100
CA;Acampo CDP;77.1
MD;Accident town;86.2
MD;Accokeek CDP;94.6
VA;Accomac town;82.5
NY;Accord CDP;93
WV;Accoville CDP;69.7
ID;Acequia city;55.1
OK;Achille town;78.4
TX;Ackerly city;38.3
MS;Ackerman town;80.9
PA;Ackermanville CDP;84.3
IA;Ackley city;87.1
IA;Ackworth city;75.8
WA;Acme CDP;0
NM;Acomita Lake CDP;84
CO;Acres Green CDP;98.1
CA;Acton CDP;88.2
MA;Acushnet Center CDP;77.3
GA;Acworth city;90.7
KS;Ada CDP;71.7
MN;Ada city;89.2
OK;Ada city;87.1
OH;Ada village;88
IL;Adair CDP;94.1
IA;Adair city;95.1
OK;Adair town;88.8
OR;Adair Village city;98.5
GA;Adairsville city;80.9
KY;Adairville city;72.8
AK;Adak city;93.4
MA;Adams CDP;87.8
NY;Adams Center CDP;88.7
MN;Adams city;91
ND;Adams city;84.9
OR;Adams city;91.6
TN;Adams city;86.4
WI;Adams city;82.7
NE;Adams village;90.1
NY;Adams village;91.4
PA;Adamsburg borough;91.3
PA;Adamstown borough;91.7
MD;Adamstown CDP;97.3
PA;Adamsville CDP;81
AL;Adamsville city;78.9
TN;Adamsville town;70.2
OH;Adamsville village;90.8
IL;Addieville village;84.5
OK;Addington town;90.4
LA;Addis town;88.6
WV;Addison (Webster Springs) town;79.8
PA;Addison borough;86.5
AL;Addison town;81.4
TX;Addison town;94
IL;Addison village;78.4
MI;Addison village;93.2
NY;Addison village;92.6
WA;Addy CDP;100
OH;Addyston village;79.3
GA;Adel city;75.9
IA;Adel city;92.2
CA;Adelanto city;67.5
IL;Adeline village;84.3
NM;Adelino CDP;80.6
WI;Adell village;96.1
MD;Adelphi CDP;78.3
OH;Adelphi village;74.2
OH;Adena village;88.7
CA;Adin CDP;100
KS;Admire city;93.9
AR;Adona city;79.3
GA;Adrian city;74.3
MI;Adrian city;82.1
MN;Adrian city;92.5
MO;Adrian city;84.4
OR;Adrian city;82.7
TX;Adrian city;74.3
MI;Advance CDP;97.1
NC;Advance CDP;93.4
MO;Advance city;79.1
IN;Advance town;84.2
VA;Adwolf CDP;86.4
CO;Aetna Estates CDP;77.7
MO;Affton CDP;91.7
IA;Afton city;88.1
MN;Afton city;97.5
OK;Afton town;80.3
WY;Afton town;95.2
NY;Afton village;85.3
SD;Agar town;100
MA;Agawam Town city;92.4
IA;Agency city;88.7
MO;Agency village;87.3
SD;Agency Village CDP;85.7
KS;Agenda city;95.9
KY;Ages CDP;53.1
CA;Agoura Hills city;95.1
KS;Agra city;94.4
OK;Agra town;82.3
CA;Agua Dulce CDP;96.6
TX;Agua Dulce CDP;49.6
TX;Agua Dulce city;78.1
NM;Agua Fria CDP;77.1
CA;Aguanga CDP;81.1
AZ;Aguila CDP;26.1
CO;Aguilar town;69.8
TX;Aguilares CDP;59.3
MI;Ahmeek village;78.6
NC;Ahoskie town;76.1
WA;Ahtanum CDP;78.5
HI;Ahuimanu CDP;96.2
CA;Ahwahnee CDP;92.5
HI;Aiea CDP;93.8
SC;Aiken city;89.5
GA;Ailey city;96.1
HI;Ainaloa CDP;85.5
IA;Ainsworth city;81.2
NE;Ainsworth city;86.7
CO;Air Force Academy CDP;97.9
NY;Airmont village;89
CA;Airport CDP;45.9
MO;Airport Drive village;95
TX;Airport Heights CDP;52.8
TX;Airport Road Addition CDP;100
WA;Airway Heights city;89.7
MN;Aitkin city;85.5
AZ;Ajo CDP;80
AZ;Ak Chin CDP;100
SD;Akaska town;87.1
AZ;Ak-Chin Village CDP;59.8
MN;Akeley city;93.2
AK;Akhiok city;62.5
AK;Akiachak CDP;76.7
AK;Akiak city;81.3
OK;Akins CDP;81.2
PA;Akron borough;85.9
IA;Akron city;87.4
OH;Akron city;86.3
